,train_loss,train_dice_scores,val_loss,val_dice_scores
10,0.9309342311274621,"{0: 0.9424723396378178, 1: 0.9053413348813211, 2: 0.9362610761196383, 3: 0.757843610740477, 4: 0.9946850807436051}",0.9333304464817047,"{0: 0.9359509311616421, 1: 0.868781428784132, 2: 0.9197744429111481, 3: 0.7288957349956036, 4: 0.9934585019946098}"
11,0.9280835851546256,"{0: 0.9473773039156391, 1: 0.9089507095275386, 2: 0.9389475795530504, 3: 0.7674412910015352, 4: 0.9950130110786807}",0.9345754384994507,"{0: 0.8650274947285652, 1: 0.8970915824174881, 2: 0.9199266098439693, 3: 0.7441423088312149, 4: 0.9907365590333939}"
12,0.9259043999256626,"{0: 0.9505622127363759, 1: 0.9159394550708032, 2: 0.9410175065840444, 3: 0.7722178687972407, 4: 0.9952976117211003}",0.9297875426709652,"{0: 0.9270558841526508, 1: 0.9000180661678314, 2: 0.9186257682740688, 3: 0.7443094365298748, 4: 0.9939144067466259}"
13,0.9248000835218737,"{0: 0.9504954170796179, 1: 0.9183160056990962, 2: 0.9427681430693595, 3: 0.7752221851579605, 4: 0.9953654706478119}",0.9342159293591976,"{0: 0.8477990925312042, 1: 0.9044096246361732, 2: 0.9207727462053299, 3: 0.7598933465778828, 4: 0.9901364184916019}"
14,0.9232098267924401,"{0: 0.9524457704636359, 1: 0.9209278850786148, 2: 0.9437775756082227, 3: 0.7817933290235458, 4: 0.9955177489788302}",0.9280257485806942,"{0: 0.9365528337657452, 1: 0.9123757779598236, 2: 0.9225230365991592, 3: 0.7561205737292767, 4: 0.9947073981165886}"
15,0.9224973051778732,"{0: 0.9546830154234364, 1: 0.923408584248635, 2: 0.946278566314328, 3: 0.7846126287214218, 4: 0.9956787968835523}",0.9275428578257561,"{0: 0.91878642141819, 1: 0.9159058630466461, 2: 0.9207582101225853, 3: 0.7426303289830685, 4: 0.9937812313437462}"
16,0.9220164177879211,"{0: 0.9509018967228551, 1: 0.9262594811377987, 2: 0.9464353755597146, 3: 0.7889535667434815, 4: 0.9955885746786671}",0.9291289933025837,"{0: 0.9469510912895203, 1: 0.919580914080143, 2: 0.9210942387580872, 3: 0.7687121853232384, 4: 0.995509646832943}"
17,0.9206283746227142,"{0: 0.9540342650105876, 1: 0.9256622435585145, 2: 0.9486803989256581, 3: 0.7921535228529284, 4: 0.9957109574348696}",0.9265287779271603,"{0: 0.945409756153822, 1: 0.9096078649163246, 2: 0.9214412830770016, 3: 0.7420018129050732, 4: 0.9949737302958965}"
18,0.920109910349692,"{0: 0.9546141970542169, 1: 0.928918699103017, 2: 0.9493915438652039, 3: 0.7956465357734311, 4: 0.9958182880955357}",0.9276665449142456,"{0: 0.9011275544762611, 1: 0.8967680409550667, 2: 0.9252797439694405, 3: 0.7728743776679039, 4: 0.9928749725222588}"
19,0.9191746423321385,"{0: 0.954982727766037, 1: 0.9313568319043806, 2: 0.9510378231925349, 3: 0.7982639016643647, 4: 0.9958897982874224}",0.9256159998476505,"{0: 0.9495462216436863, 1: 0.9131657853722572, 2: 0.923902053385973, 3: 0.7655489221215248, 4: 0.9954044185578823}"
